Series,Nt,Nv,Nh,Lambdal,Lambdah,LambdalMin,LambdalMax,LambdahMin,LambdahMax,Delta,Kappa,Nu,M0,Sigma,T,Mean,StandardDeviation,Kurtosis,KolmogorovSmirnov,Hurst,GPH,ADF,GARCH,Hill,Objective,RunTime
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.0,10000.0,0.01,3600000,-5.6616335449391796e-5,0.001989274168095233,996.9217721146983,0.47565113061303715,0.5735459570357128,0.29890163057671837,-67.92078044651112,1.1163015207330376,0.6112111398553063,129032.41011891465,81.72064089775085
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.0,10000.0,0.01,3600000,-5.6869567967598314e-5,0.004714091947363879,608.6191171319771,0.447953370866435,0.5387453795714542,0.3931293929026061,-69.16068444452277,0.9453932620103289,0.3832583972080699,286110.5300458327,82.16090703010559
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.0,10000.0,0.2575,3600000,-2.7031967519248525e-5,0.002220526311119279,966.3516132140452,0.48455715356724327,0.5141988987057076,0.3379620171853332,-66.05962621808234,0.9500000202200065,-0.016598652381909777,75751.6787560229,42.023614168167114
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.0,10000.0,0.2575,3600000,-2.9514314041697075e-5,0.005268019077804556,460.1330852385719,0.465498472546743,0.47324941927216274,0.7821850373166568,-67.89184697792702,1.007415616381874,0.22228011208457135,284503.0107262148,42.023656129837036
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.0,10000.0,0.505,3600000,-3.856626333442359e-6,0.0016060023415012288,478.8765818819535,0.5031940104328194,0.4984582328528191,0.6305206863272895,-65.64193813867341,1.0242881432587236,0.1647124500837946,29548.24883117129,39.00789403915405
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.0,10000.0,0.505,3600000,-3.4820194790665785e-7,0.005698646224382669,598.797375272768,0.4821455265899174,0.5042040419258296,0.6732200034628055,-65.61962602478957,0.9665895982410488,0.6239859789964997,319771.1277780891,39.007943868637085
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.0,10000.0,0.7525,3600000,-0.00011854364627181274,0.005032125538060214,328.4020094860819,0.47770973232625363,0.6104745180787525,0.5926432571952942,-65.2735002422656,0.9757703693550133,0.04528940717040161,669997.1068144738,39.0489718914032
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.0,10000.0,0.7525,3600000,-0.00012172720805896777,0.010834300816382968,214.64432336690834,0.45061962869365935,0.47503786061477804,0.6625340904048874,-72.76296705954036,0.999241345319937,0.10082802083587127,1.680958964137032e6,39.04902410507202
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.0,10000.0,1.0,3600000,-0.00028165625093539597,0.004411084650033615,276.5430263597108,0.47258308794956755,0.7598286304168811,0.43533217114565725,-53.58074693051545,1.221270925217363,0.4557280023535754,2.279324153947487e6,39.43614482879639
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.0,10000.0,1.0,3600000,-0.0002827050101358407,0.007477637754659005,336.26481524982927,0.4308517800748014,0.7575891851103039,0.5549128247418721,-64.95453943616768,1.1887957411666,0.2779632615446088,2.634277843522256e6,39.436195850372314
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.7,10000.0,0.01,3600000,-1.5386097701205246e-6,0.002651974351329409,346.9392471455855,0.4817441433589011,0.6064250464381996,0.8270141678922573,-59.757411239087844,1.0731806929579935,0.33138342377416574,85348.5314316534,38.002264976501465
